QueueId,QueueThreadCount,SchedType,QueueMaxRemainingBursts,QueueMinRemainingBursts,QueueMeanRemainingBursts,QueueMedianRemainingBursts,QueueRangeRemainingBursts,QueueTotalRemainingBursts,CoreCount,CoreId,IsCoreIdle,CoreBurstAge,ThreadBurstsRan,ThreadBurstsRemaining,Action,AvgThreadThroughput,AvgThreadTurnaround
0,19,MLFQ,37,2,19.579,15,35,372,4,2,0,0,11,37,NEXT_RR,0.134615,115.381
16,8,CFS,42,1,19.25,16,41,154,1,0,0,0,8,40,NEXT_FCFS,0.039301,149.333
42,9,CFS,47,4,22.333,21,43,201,1,0,0,0,1,28,NEXT_RR,0.046083,121.4
42,9,CFS,44,1,20.111,18,43,181,4,0,0,0,3,5,NEXT_FCFS,0.15625,33.4
76,4,CFS,29,1,17.75,20.5,28,71,2,1,0,0,16,1,NEXT_OTHER,0.064103,58
8,1,SRT,6,6,6,6,0,6,3,0,1,0,0,inf,NEXT_SJF,0.098214,51.455
9,7,SRT,49,15,36.429,36,34,255,1,0,0,10,10,15,NONE,0.056948,129.36
63,9,MLFQ,38,1,21.333,21,37,192,2,0,0,0,2,31,NEXT_RR,0.079646,80.556
34,12,HRRN,45,8,30.833,32,37,370,1,0,0,8,8,8,NONE,0.049107,147.864
64,3,CFS,25,1,15,19,24,45,2,0,0,0,12,19,NEXT_OTHER,0.081633,32.75
32,1,FCFS,5,5,5,5,0,5,4,0,0,9,9,5,NONE,0.152778,43.455
48,15,MLFQ,39,1,19.8,19,38,297,2,0,0,0,5,39,NEXT_SJF,0.088083,125.059
0,20,RR,41,1,22.85,19.5,40,457,3,1,0,0,6,1,NEXT_FCFS,0.100962,155.857
18,12,SRT,49,7,35.417,39,42,425,3,2,0,3,3,28,NONE,0.098901,70.389
42,10,CFS,48,1,21.1,16.5,47,211,1,0,0,0,0,5,NEXT_RR,0.046083,122.1
41,1,CFS,31,31,31,31,0,31,1,0,0,12,12,31,NONE,0.023256,43
18,11,CFS,28,2,18.091,20,26,199,2,1,0,1,21,24,NEXT_RR,0.072,161.5
0,18,FCFS,49,5,29.889,27,44,538,1,0,0,8,8,37,NEXT_SJF,0.034091,301.143
34,2,CFS,2,2,2,2,0,4,1,0,0,0,42,2,NEXT_OTHER,0.049107,270.773
12,14,CFS,36,2,17.214,14.5,34,241,1,0,0,0,12,9,NEXT_OTHER,0.047191,262.19
12,20,CFS,46,1,19.85,19.5,45,397,4,0,0,0,2,2,NEXT_RR,0.181034,65.714
16,9,MLFQ,48,2,21.444,16,46,193,4,1,0,0,5,5,NEXT_RR,0.130435,40
2,17,CFS,40,2,20.059,21,38,341,3,0,0,0,5,19,NEXT_FCFS,0.121622,100.667
0,19,CFS,37,2,20.368,15,35,387,1,0,0,0,11,13,NEXT_FCFS,0.034091,455.286
0,10,HRRN,49,8,37.3,43,41,373,3,2,0,9,9,19,NONE,0.09375,95.333
12,21,CFS,47,1,20.095,20,46,422,1,0,0,0,1,7,NEXT_FCFS,0.047191,261.619
0,21,MLFQ,44,1,24.571,22,43,516,4,0,0,0,4,3,NEXT_FCFS,0.134615,115.143
2,5,MLFQ,11,3,6.6,4,8,33,2,0,0,0,33,11,NEXT_SJF,0.082192,155.222
0,18,CFS,31,1,14.5,9,30,261,1,0,0,0,18,31,NEXT_OTHER,0.034091,460.571
41,1,FCFS,0,0,0,0,0,0,1,-1,1,0,0,0,NEXT_SJF,0.023256,43
62,2,CFS,17,12,14.5,14.5,5,29,1,0,0,1,31,17,NONE,0.029412,109
9,16,CFS,39,2,15.312,9,37,245,2,0,0,0,9,5,NEXT_RR,0.113636,115.24
8,11,CFS,47,7,26.727,25,40,294,3,1,0,0,0,22,NEXT_RR,0.105769,70.545
16,1,FCFS,16,16,16,16,0,16,4,3,1,0,0,inf,NEXT_SJF,0.105882,36
43,16,CFS,35,4,19.188,18,31,307,4,0,0,0,12,5,NEXT_OTHER,0.141791,91.474
38,18,CFS,47,1,20.222,16.5,46,364,2,1,0,0,1,1,NEXT_FCFS,0.096447,113.842
18,5,SRT,49,32,43.2,45,17,216,1,0,0,10,10,32,NONE,0.036217,181.889
84,17,CFS,36,1,18.059,15,35,307,3,1,0,0,13,27,NEXT_OTHER,0.116402,128
12,11,HRRN,48,2,27.364,27,46,301,4,3,0,36,36,4,NONE,0.160305,47.333
0,4,PSJF,49,4,25.75,25,45,103,3,1,0,18,18,30,NONE,0.09375,92.952
0,12,SRT,49,15,36.833,42,34,442,1,0,0,11,11,15,NONE,0.034091,247.952
60,4,FCFS,49,5,27,27,44,108,2,1,0,12,12,5,NONE,0.065574,67.875
38,17,FCFS,48,1,20.824,18,47,354,2,0,0,12,12,3,NONE,0.095,95.211
39,5,CFS,22,2,14,19,20,70,3,0,0,0,17,22,NEXT_OTHER,0.15942,39.364
0,18,MLFQ,35,4,18.667,13.5,31,336,4,0,0,0,13,30,NEXT_RR,0.134615,115.381
0,14,PSJF,49,1,33.286,37,48,466,3,0,0,1,1,25,NONE,0.09375,92.952
33,5,MLFQ,15,3,10.4,13,12,52,1,0,0,0,34,14,NEXT_RR,0.035256,211.182
2,9,RR,24,4,11.556,11,20,104,3,1,0,1,23,15,NEXT_SJF,0.12,100.5
0,19,CFS,36,1,18.789,13,35,357,1,0,0,1,13,7,NEXT_FCFS,0.034091,449.476
0,8,CFS,19,4,14,14.5,15,112,1,0,0,0,29,14,NEXT_FCFS,0.034091,456.19
12,20,RR,48,1,20.25,19.5,47,405,2,1,0,6,6,40,NEXT_SJF,0.09375,128.095
13,25,CFS,46,1,22.96,25,45,574,4,1,0,0,0,36,NEXT_RR,0.170068,90.04
39,11,CFS,38,2,17.545,17,36,193,3,0,0,0,0,20,NEXT_RR,0.15942,38.818
34,22,CFS,45,4,20.091,16,41,442,2,1,0,0,0,29,NEXT_RR,0.097778,133.864
2,3,MLFQ,8,1,5.333,7,7,16,1,0,0,0,37,1,NEXT_SJF,0.04119,310.111
36,18,CFS,47,8,31.389,30.5,39,565,4,2,0,0,0,39,NEXT_FCFS,0.124138,111.556
2,18,MLFQ,43,3,21.833,22.5,40,393,2,0,0,0,2,3,NEXT_FCFS,0.082192,154.833
0,4,PSJF,49,17,35.5,38,32,142,3,0,0,12,12,33,NONE,0.09375,92.952
10,14,CFS,27,7,14.643,12,20,205,1,0,0,0,20,14,NEXT_FCFS,0.039152,419
1,8,RR,41,2,19.375,14,39,155,1,0,0,2,8,27,NEXT_FCFS,0.038136,164
0,21,CFS,47,4,27.619,24,43,580,3,1,0,0,1,32,NEXT_RR,0.101449,150.524
12,12,CFS,29,1,13.417,11,28,161,1,0,0,0,18,5,NEXT_OTHER,0.047191,262.19
0,6,PSJF,49,6,32.667,40,43,196,3,2,0,10,10,35,NONE,0.09375,92.952
0,7,CFS,16,8,11.857,12,8,83,1,0,0,1,33,10,NEXT_FCFS,0.034091,456.333
66,6,MLFQ,24,1,11.667,11,23,70,1,0,0,0,20,3,NEXT_RR,0.039216,137.5
22,10,PSJF,49,13,34.3,37,36,343,3,0,0,16,16,13,NONE,0.095238,65.688
